iter	MAE	RMSE
118	9.690077443	12.47256643
119	9.666111874	12.45537259
120	9.645497467	12.44097732
121	9.624547124	12.42692773
122	9.603767802	12.41045668
123	9.580570653	12.39247232
124	9.558546949	12.37601571
125	9.540429296	12.36526534
126	9.519617791	12.34989659
127	9.500429666	12.33533142
128	9.481425261	12.32139012
129	9.460158515	12.30558281
130	9.442943091	12.29507662
131	9.427087333	12.28456143
132	9.410425391	12.27401791
133	9.392356603	12.26103063
134	9.375564786	12.24887586
135	9.359848095	12.23694914
136	9.341398174	12.2233041
137	9.325144527	12.21049099
138	9.306513741	12.19422029
139	9.2905046	12.18199535
140	9.276671725	12.1731077
141	9.261723713	12.16270468
142	9.24673771	12.15204584
143	9.233875301	12.14366433
144	9.220959377	12.13486748
145	9.209672167	12.12884103
146	9.197680772	12.12038314
147	9.186399561	12.11410147
148	9.172529513	12.10392921
149	9.158138689	12.09319041
150	9.145691327	12.08478409
151	9.133687862	12.07625305
152	9.120769942	12.06686412
153	9.109658232	12.05881403
154	9.099402797	12.05265165
155	9.086334757	12.04329224
156	9.073299294	12.03205681
157	9.063578819	12.026982
158	9.051868192	12.01755392
159	9.04198784	12.01080754
160	9.03215841	12.00476933
161	9.022757784	11.99768872
162	9.010434401	11.98796115
163	8.997700686	11.97771421
164	8.988050457	11.97131863
165	8.977957695	11.9644547
166	8.968706271	11.95719463
167	8.960108665	11.949862
168	8.951337926	11.94362491
169	8.942492126	11.93764125
170	8.931679705	11.92906825
171	8.921931229	11.9221932
172	8.911972479	11.91357807
173	8.904502412	11.90847188
174	8.893761269	11.8999274
175	8.88305481	11.8906346
176	8.873094815	11.88252131
177	8.865247168	11.87587489
178	8.85631923	11.86815125
179	8.84709807	11.86064547
180	8.839279133	11.85479581
181	8.830875258	11.8479558
182	8.823528957	11.84234443
183	8.814451668	11.83555887
184	8.80708712	11.82844463
185	8.798895281	11.82199305
186	8.791335567	11.81697994
187	8.783415612	11.81037895
188	8.77575727	11.80371047
189	8.768613332	11.79860633
190	8.763341343	11.79511155
191	8.757040819	11.78998096
192	8.751114634	11.78548683
193	8.743494249	11.77818353
194	8.735917212	11.77117798
195	8.729249906	11.76598957
196	8.722137187	11.75882298
197	8.715547499	11.75253396
198	8.709251847	11.7473729
199	8.70099653	11.74052497
200	8.69625463	11.73747056
201	8.690470506	11.73295668
202	8.682911565	11.72614417
203	8.676914668	11.72057726
204	8.66921925	11.71272257
205	8.662806042	11.70698405
206	8.6564447	11.70121968
207	8.650467583	11.69595207
208	8.643978471	11.689738
209	8.637709349	11.68446038
210	8.631343628	11.67918303
211	8.626986689	11.6758249
212	8.621681335	11.67135912
213	8.616120863	11.66567628
214	8.61092095	11.66077947
215	8.606636267	11.65641838
216	8.602460505	11.65302084
217	8.598535275	11.65003606
218	8.592620628	11.6448214
219	8.587106267	11.63991795
220	8.581955418	11.6354859
221	8.576931212	11.63096796
222	8.570526103	11.62460394
223	8.563810853	11.61780711
224	8.55883982	11.61264363
225	8.555130858	11.60915589
226	8.551174603	11.60528875
227	8.546255029	11.59991078
228	8.541366081	11.59513846
229	8.537864419	11.59274308
230	8.532767987	11.58808621
231	8.528790375	11.58444689
232	8.525065642	11.58109787
233	8.521942585	11.57841065
234	8.51817281	11.57500246
235	8.51138379	11.56852562
236	8.507951587	11.56440389
237	8.503318432	11.55988091
238	8.4983966	11.55503829
239	8.495780423	11.55328895
240	8.491953	11.55019429
241	8.487635766	11.54571454
242	8.483621492	11.54128961
243	8.47857411	11.53605723
244	8.47508745	11.53288474
245	8.471279653	11.52928668
246	8.467136861	11.52493395
247	8.46273391	11.52111151
248	8.458546334	11.51675151
249	8.455657205	11.51405731
250	8.452036501	11.5107873
251	8.448559559	11.50713798
252	8.445076277	11.50308125
253	8.441728665	11.49916034
254	8.437498653	11.4942252
255	8.433999776	11.4908225
256	8.42953602	11.48603686
257	8.426179701	11.48265895
258	8.42398256	11.48039732
259	8.421865974	11.47758171
260	8.418157908	11.47346861
261	8.414310704	11.46881103
262	8.410090153	11.46439352
263	8.407007715	11.4609236
264	8.402637486	11.45640517
265	8.399532856	11.45271545
266	8.396352236	11.44952494
267	8.39398408	11.44732592
268	8.390564877	11.44323121
269	8.387661779	11.44053958
270	8.383738667	11.43609695
271	8.37841752	11.43072479
272	8.37351826	11.42471779
273	8.370419571	11.42199839
274	8.365963842	11.41748789
275	8.362867563	11.41363402
276	8.358936456	11.40941321
277	8.356424241	11.40619357
278	8.352582942	11.40204617
279	8.350405492	11.39976519
280	8.347903002	11.39735169
281	8.34492368	11.39382207
282	8.341183453	11.38939789
283	8.338494507	11.38706356
284	8.336202588	11.38477986
285	8.333261042	11.38120916
286	8.330628614	11.37773429
287	8.327545197	11.37386666
288	8.325082412	11.37039524
289	8.321559021	11.36608164
290	8.318781437	11.36310907
291	8.3166788	11.36143255
292	8.313497861	11.35805363
293	8.310884843	11.35499078
294	8.308877224	11.35214955
295	8.305330635	11.34814925
296	8.302040444	11.34465909
297	8.298770715	11.34066588
298	8.296426705	11.33765881
299	8.294584446	11.33546993
300	8.291894709	11.33240505
301	8.2905778	11.33065698
302	8.288698525	11.32854389
303	8.285618674	11.32515129
304	8.28280068	11.32195128
305	8.27873098	11.31816215
306	8.274826154	11.31294538
307	8.272036244	11.30973675
308	8.269436277	11.30634446
309	8.26766635	11.30443246
310	8.265968187	11.30282625
311	8.263322316	11.30021329
312	8.260266263	11.29593018
313	8.257294679	11.29279197
314	8.255402565	11.29041193
315	8.252668098	11.28731454
316	8.250563613	11.28443484
317	8.246296769	11.27999795
318	8.243477831	11.27667618
319	8.241838208	11.27476772
320	8.239992034	11.2723967
321	8.236855554	11.26903473
322	8.23453187	11.26651215
323	8.231971073	11.26373768
324	8.228520873	11.25955051
325	8.226030229	11.25701494
326	8.222844419	11.25329083
327	8.221186511	11.25131739
328	8.216819901	11.24683388
329	8.214321322	11.24353189
330	8.210809013	11.2393801
331	8.206121429	11.23287309
332	8.202345977	11.22830533
333	8.198927035	11.22456414
334	8.196193895	11.22074159
335	8.19265503	11.21638481
336	8.190096913	11.2132109
337	8.186175199	11.20814301
338	8.181715141	11.20244907
339	8.179392439	11.19940922
340	8.177645429	11.19734385
341	8.176362481	11.19581401
342	8.174057339	11.1931346
343	8.172195462	11.19026167
344	8.169899904	11.18715474
345	8.167602032	11.18430394
346	8.162611634	11.17778156
347	8.161078012	11.17571579
348	8.158522277	11.17225904
349	8.155538857	11.1687057
350	8.152034831	11.16438821
351	8.149504644	11.16199973
352	8.147738069	11.1603176
353	8.1451742	11.15731176
354	8.143300106	11.1547572
355	8.141928286	11.15291266
356	8.139689991	11.14998354
357	8.137194015	11.14702056
358	8.133450725	11.14301083
359	8.131849451	11.14062827
360	8.129815872	11.1373382
361	8.128284266	11.13530896
362	8.126218525	11.13258253
363	8.12396966	11.1292826
364	8.120065009	11.12424845
365	8.117140805	11.12067088
366	8.113267065	11.11588203
367	8.110940953	11.11284428
368	8.107129324	11.10830749
369	8.104812362	11.1052935
370	8.101643984	11.10101259
371	8.099028018	11.0972363
372	8.095829894	11.09386634
373	8.093469072	11.09071732
374	8.091188627	11.08757809
375	8.089829609	11.08566834
376	8.087660395	11.08262198
377	8.086186068	11.08081972
378	8.083631014	11.07750289
379	8.079899829	11.07237341
380	8.077143193	11.06887455
381	8.074537838	11.06617612
382	8.071910328	11.06253066
383	8.069675017	11.0593727
384	8.06651564	11.05521233
385	8.063354035	11.05172812
386	8.061250133	11.04917425
387	8.058291219	11.04561694
388	8.055569797	11.04180304
389	8.053946243	11.03938233
390	8.051805614	11.03623284
391	8.049253415	11.03324493
392	8.04747933	11.03047117
393	8.045332521	11.02787586
394	8.042203553	11.02380595
395	8.039887846	11.02088709
396	8.038489416	11.01883102
397	8.035787775	11.01588337
398	8.034146918	11.01434582
399	8.030794653	11.00937738
400	8.029084485	11.00694522
401	8.026740369	11.00402174
402	8.023591599	10.9994244
403	8.022007139	10.99735215
404	8.019453084	10.99343789
405	8.01673895	10.99049563
406	8.014396066	10.98769854
407	8.012669541	10.98579468
408	8.009667553	10.98232749
409	8.006733509	10.97859304
410	8.004083692	10.97560192
411	8.002542307	10.97340442
412	8.000241596	10.9704783
413	7.998060143	10.96807137
414	7.996438998	10.96604273
415	7.994705014	10.96382565
416	7.992913295	10.96163055
417	7.989308725	10.95750901
418	7.98655585	10.95346157
419	7.984996528	10.95129106
420	7.982530989	10.94856588
421	7.979822825	10.94497723
422	7.97642031	10.94079967
423	7.974531545	10.93816048
424	7.97308786	10.93641977
425	7.970669192	10.93263505
426	7.967869849	10.92866015
427	7.965473514	10.9255174
428	7.963667066	10.92245911
429	7.961327135	10.91895644
430	7.958639524	10.91517474
431	7.955964766	10.91206481
432	7.953828315	10.90916972
433	7.951844453	10.90669092
434	7.949332308	10.9038702
435	7.947273781	10.90073404
436	7.945208951	10.89764015
437	7.942615493	10.89410799
438	7.940489979	10.89157325
439	7.93819253	10.88865919
440	7.936514509	10.88656973
441	7.933509309	10.88285018
442	7.931824482	10.88026839
443	7.928271171	10.87542252
444	7.92532505	10.87102566
445	7.92229128	10.86753646
446	7.920055131	10.86489245
447	7.917863536	10.8617432
448	7.914901253	10.85798079
449	7.913058215	10.85583305
450	7.910811384	10.85298192
451	7.90863577	10.84982437
452	7.906230502	10.8466481
453	7.903674422	10.84267698
454	7.901088154	10.83840447
455	7.89906779	10.83581073
456	7.896271186	10.83234008
457	7.894977614	10.83058842
458	7.893455554	10.82892174
459	7.889748075	10.82426811
460	7.886774797	10.82021724
461	7.883818805	10.81677137
462	7.881598559	10.81409933
463	7.879458703	10.81100557
464	7.87783051	10.80856501
465	7.874775123	10.80470001
466	7.87297287	10.80221092
467	7.871239682	10.79961012
468	7.86985574	10.79783646
469	7.868538114	10.79601025
470	7.865498282	10.79257547
471	7.86309271	10.78970964
472	7.861074614	10.78686621
473	7.858682757	10.78412432
474	7.856657748	10.7813891
475	7.855001492	10.77940427
476	7.851620785	10.77448624
477	7.848228587	10.77038635
478	7.845913367	10.76725567
479	7.843767253	10.76423811
480	7.84245098	10.7623571
481	7.840583355	10.75977287
482	7.837652152	10.75611576
483	7.834878093	10.75259827
484	7.833110197	10.7500918
485	7.831001323	10.74762933
486	7.828196515	10.74389869
487	7.826596431	10.74192239
488	7.825356951	10.74055898
489	7.822892466	10.73752728
490	7.820972999	10.73492152
491	7.819532503	10.73310951
492	7.816794243	10.72964548
493	7.814636384	10.7268279
494	7.813468464	10.72511063
495	7.810806999	10.72138679
496	7.808363782	10.71846653
497	7.806740957	10.71580026
498	7.805251139	10.7130591
499	7.803211324	10.71032891
500	7.801702588	10.70838402
501	7.799492887	10.70519367
502	7.796830592	10.70148137
503	7.794300651	10.69821396
504	7.79206668	10.695314
505	7.791016002	10.69388743
506	7.788778051	10.69080369
507	7.786140624	10.68727041
508	7.784040483	10.68438783
509	7.781840313	10.68164266
510	7.778668385	10.67801632
511	7.776864578	10.67537591
512	7.774844469	10.67227513
513	7.77338047	10.6698915
514	7.771552837	10.66749871
515	7.769044449	10.66419233
516	7.766203787	10.66052336
517	7.764876632	10.65844917
518	7.763516651	10.65632117
519	7.761880481	10.65405598
520	7.75994161	10.65167297
521	7.757812134	10.64900405
522	7.756403373	10.64727344
523	7.754031378	10.64424691
524	7.751949429	10.64130228
525	7.75001529	10.63839166
526	7.748697955	10.6366684
527	7.746763179	10.63412058
528	7.743511134	10.62997595
529	7.740697728	10.62667645
530	7.738123808	10.62394215
531	7.736372781	10.62191404
532	7.733976653	10.6188942
533	7.732030163	10.61633705
534	7.729664161	10.61307756
535	7.727211897	10.61009157
536	7.725004514	10.60726132
537	7.723124916	10.60484628
538	7.72231083	10.60345141
539	7.720078184	10.60039241
540	7.718181496	10.59775721
541	7.716391178	10.59545859
542	7.713744437	10.59116324
543	7.71156401	10.5883427
544	7.710293384	10.58651163
545	7.707894449	10.5832422
546	7.705179422	10.5800206
547	7.70228247	10.57652798
548	7.700257976	10.57405437
549	7.698645465	10.57190146
550	7.696075653	10.56855848
551	7.693718321	10.56533822
552	7.69061098	10.56107779
553	7.688236227	10.55781128
554	7.686024672	10.55460605
555	7.684613515	10.55313734
556	7.682540842	10.54988111
557	7.680523069	10.54696555
558	7.679188628	10.54537773
559	7.677224288	10.54274989
560	7.675911649	10.54098306
561	7.673196648	10.53772993
562	7.671563509	10.53520305
563	7.669850089	10.5328571
564	7.66816598	10.53064603
565	7.665567363	10.52714622
566	7.663584441	10.52453742
567	7.661947058	10.52239216
568	7.659464095	10.51869759
569	7.657694799	10.51655749
570	7.654962201	10.51289886
571	7.652161979	10.50892663
572	7.6501684	10.50615228
573	7.647898662	10.50347972
574	7.646006484	10.50049512
575	7.643588409	10.4973606
576	7.641786555	10.49475679
577	7.639526544	10.49171736
578	7.635739041	10.48660602
579	7.633074274	10.48315726
580	7.63018493	10.47934142
581	7.62763523	10.47565553
582	7.625649289	10.4728422
583	7.623132481	10.4696907
584	7.62025619	10.46608232
585	7.617567154	10.46265189
586	7.615416238	10.45993315
587	7.613475133	10.45718391
588	7.611180839	10.45406776
589	7.609308984	10.45144471
590	7.60856584	10.45030515
591	7.605350273	10.44628199
592	7.60349069	10.4437343
593	7.600786988	10.4401608
594	7.59876487	10.43718767
595	7.596406987	10.43391069
596	7.594463793	10.4311617
597	7.592353625	10.42880947
598	7.590699065	10.42679585
599	7.588387691	10.42386254
600	7.58563304	10.42040244
601	7.584147129	10.41848685
602	7.581558755	10.41473214
603	7.580298105	10.41331237
604	7.578234953	10.41063657
605	7.575167182	10.4071653
606	7.572829253	10.40393542
607	7.569226581	10.39967409
608	7.566873691	10.39674798
609	7.564306113	10.39311454
610	7.561696368	10.39004517
611	7.559215137	10.38689428
612	7.556441633	10.38405551
613	7.554263603	10.38111622
614	7.551782196	10.37822231
615	7.54981354	10.37560266
616	7.547957917	10.37299197
617	7.545798437	10.37022323
618	7.545072966	10.36914099
619	7.542519201	10.36543619
620	7.540550771	10.36251939
621	7.538078392	10.35939013
622	7.535499931	10.35605744
623	7.53339589	10.35316629
624	7.530885846	10.34967049
625	7.528570484	10.34656791
626	7.526592931	10.34375043
627	7.524460558	10.34069697
628	7.522581398	10.33822739
629	7.519664053	10.33472132
630	7.516247091	10.3308704
631	7.513173408	10.32643863
632	7.510615403	10.32317028
633	7.507397154	10.31954313
634	7.504752871	10.31605045
635	7.502372067	10.31283803
636	7.499933574	10.30931723
637	7.497538234	10.30652166
638	7.494585717	10.30309067
639	7.492640485	10.30014073
640	7.490722813	10.29751801
641	7.488420647	10.29453802
642	7.486805206	10.29230342
643	7.485067076	10.28992993
644	7.482171296	10.28628145
645	7.479377859	10.28298587
646	7.477643807	10.28045909
647	7.476645819	10.27892899
648	7.474347042	10.27594011
649	7.472368863	10.27303355
650	7.470041444	10.2699305
651	7.466997381	10.26620697
652	7.464327778	10.26291295
653	7.462411114	10.26039072
654	7.460477905	10.25738725
655	7.458577724	10.25459317
656	7.456041213	10.25125279
657	7.453881565	10.24832596
658	7.452689016	10.24632992
659	7.451330217	10.24449533
660	7.448473951	10.24054185
661	7.446470795	10.23757347
662	7.44443599	10.23438769
663	7.443167761	10.23267925
664	7.441323209	10.23061759
665	7.439314172	10.22812828
666	7.436950391	10.22502374
667	7.435783997	10.22352759
668	7.433534293	10.22077478
669	7.431684692	10.2184596
670	7.430047738	10.21629479
671	7.42761904	10.21258497
672	7.424967651	10.20898987
673	7.42333075	10.20665377
674	7.420099106	10.20200756
675	7.418433285	10.19968423
676	7.415763485	10.19567097
677	7.413916398	10.19337607
678	7.411923153	10.19040534
679	7.41025414	10.18825884
680	7.408106192	10.18558475
681	7.406037394	10.18281554
682	7.404349194	10.18047043
683	7.402095212	10.17751363
684	7.400184265	10.17509043
685	7.397691076	10.17156278
686	7.395587246	10.16856626
687	7.393497371	10.16535444
688	7.39118752	10.16261214
689	7.389315487	10.15985651
690	7.387458735	10.15710429
691	7.385342709	10.15501028
692	7.383714816	10.15273075
693	7.382519459	10.1508991
694	7.380808892	10.14884717
695	7.378540593	10.14553981
696	7.376230868	10.14239638
697	7.374673618	10.14018091
698	7.372223301	10.13702088
699	7.369272325	10.13295553
700	7.367281335	10.12986812
701	7.364629931	10.12646645
702	7.361833486	10.12320691
703	7.359712177	10.12027854
704	7.35759252	10.117551
705	7.35534729	10.11464202
706	7.35272986	10.11124621
707	7.351339603	10.10918389
708	7.349380104	10.10697651
709	7.3477244	10.10485427
710	7.345113879	10.10121429
711	7.342868904	10.09784962
712	7.340594466	10.09442176
713	7.338364343	10.09123205
714	7.336842174	10.08892338
715	7.335344813	10.08677151
716	7.332828292	10.08369783
717	7.330499078	10.08078612
718	7.329016131	10.07879544
719	7.326564897	10.07585261
720	7.32466018	10.07291391
721	7.323258771	10.07098681
722	7.321724078	10.06889332
723	7.319583554	10.06606357
724	7.317747213	10.0635938
725	7.315278522	10.06056955
726	7.313974059	10.05882622
727	7.31122985	10.05477072
728	7.308123886	10.05091164
729	7.306286907	10.0486252
730	7.303534348	10.04517699
731	7.301596204	10.04269281
732	7.299493188	10.03994845
733	7.297281518	10.03674248
734	7.2953663	10.03400242
735	7.293559615	10.03132834
736	7.291625507	10.02896872
737	7.289737185	10.02631028
738	7.287534452	10.02371212
739	7.285390837	10.02079293
740	7.282975943	10.01712117
741	7.281368905	10.0153669
742	7.278672268	10.01205746
743	7.275526253	10.00765134
744	7.274320597	10.00575663
745	7.271055375	10.00094959
746	7.268353253	9.997188343
747	7.265903282	9.993576001
748	7.263521918	9.990332773
749	7.262323063	9.988504243
750	7.259919327	9.985272088
751	7.25797294	9.982741354
752	7.255255321	9.979700207
753	7.253793909	9.977516482
754	7.251168214	9.9740678
755	7.250044846	9.972467358
756	7.248038587	9.969798115
757	7.245703899	9.966645595
758	7.244161999	9.964765162
759	7.242761908	9.963172022
760	7.241538071	9.961680646
761	7.239217947	9.958541281
762	7.237899927	9.956695453
763	7.235432435	9.953076242
764	7.233241077	9.950493556
765	7.231128332	9.947419586
766	7.228969064	9.944787755
767	7.227135636	9.942583912
768	7.225318739	9.939801619
769	7.223193009	9.936481101
770	7.220753635	9.933072228
771	7.218525602	9.929957429
772	7.217327031	9.928476617
773	7.215318311	9.925066916
774	7.213785558	9.922967146
775	7.211749184	9.920274079
776	7.209570077	9.917308942
777	7.20746859	9.914689627
778	7.205215427	9.911325687
779	7.203392639	9.908982349
780	7.202026337	9.907185106
781	7.200874451	9.905682537
782	7.198821025	9.902892817
783	7.196852676	9.900112596
784	7.194611397	9.897167995
785	7.191678242	9.893583209
786	7.190695096	9.89201497
787	7.188399784	9.889352482
788	7.186647537	9.886833759
789	7.184545109	9.883966884
790	7.18332635	9.881960231
791	7.181217091	9.878786593
792	7.179932166	9.87667775
793	7.178491291	9.874696128
794	7.175650058	9.871152454
795	7.173710049	9.868389282
796	7.171942984	9.866126887
797	7.170207998	9.863615706
798	7.168309907	9.861248687
799	7.165873091	9.858407365
800	7.163677708	9.855016259
801	7.16155451	9.852129404
802	7.159426585	9.849444331
803	7.157184479	9.846274644
804	7.154020032	9.8417637
805	7.151831639	9.838687915
806	7.151374458	9.837940925
807	7.149675366	9.835462448
808	7.148868868	9.83429647
809	7.146809606	9.831102635
810	7.145079257	9.828669583
811	7.143219354	9.826008497
812	7.141460509	9.823585144
813	7.14036168	9.821828989
814	7.138706386	9.819495142
815	7.136766315	9.817235685
816	7.134752464	9.814719752
817	7.13285063	9.81249585
818	7.130831532	9.809940803
819	7.129318633	9.807789551
820	7.128279771	9.806283735
821	7.125947009	9.80312774
822	7.124278849	9.800715931
823	7.122358815	9.798108155
824	7.120629278	9.79593682
825	7.119553016	9.793972443
826	7.117559351	9.790996957
827	7.116645225	9.789654917
828	7.115481145	9.787888714
829	7.113671429	9.785777593
830	7.112002945	9.783338117
831	7.110461276	9.781470551
832	7.108390718	9.778746255
833	7.106649788	9.776266092
834	7.10466745	9.773937251
835	7.104055834	9.773000207
836	7.102950795	9.771718869
837	7.101188175	9.769391482
838	7.099275247	9.766334817
839	7.097954605	9.764281078
840	7.096520004	9.761675879
841	7.094616499	9.759421364
842	7.093707811	9.7581567
843	7.091873765	9.755938841
844	7.090051739	9.753496376
845	7.087792561	9.750450627
846	7.086106322	9.747956707
847	7.084319188	9.745917023
848	7.082365852	9.742776964
849	7.080433334	9.74020167
850	7.078656813	9.737795819
851	7.076819503	9.735168944
852	7.07526348	9.733232813
853	7.073855876	9.73140041
854	7.072791834	9.729734596
855	7.071599427	9.728488308
856	7.069767625	9.725908237
857	7.067853031	9.7236871
858	7.066938609	9.722632852
859	7.064729489	9.719936752
860	7.06274189	9.717316912
861	7.060566959	9.714324699
862	7.058583068	9.711984243
863	7.056519266	9.709034108
864	7.056164747	9.708315399
865	7.054625874	9.70603282
866	7.052105684	9.702806415
867	7.050489182	9.700434031
868	7.048242464	9.696968353
869	7.046483788	9.694357688
870	7.044890026	9.692027279
871	7.043851901	9.690413491
872	7.042514253	9.688694164
873	7.041371883	9.68706658
874	7.03927646	9.684125027
875	7.037210894	9.681683472
876	7.035482016	9.679005881
877	7.034257718	9.6772457
878	7.033105356	9.675444283
879	7.032246095	9.67434712
880	7.031193699	9.673061961
881	7.030232297	9.671912746
882	7.028213517	9.669285697
883	7.026574147	9.666766289
884	7.025693094	9.665326563
885	7.024087049	9.662939184
886	7.023582773	9.662174065
887	7.022499871	9.660802733
888	7.020595951	9.657824588
889	7.019234202	9.655968805
890	7.017514597	9.653131759
891	7.015196142	9.650435309
892	7.013346996	9.647976817
893	7.010956475	9.645248319
894	7.009237778	9.642664789
895	7.008473289	9.641459077
896	7.007560834	9.640263203
897	7.005784982	9.637856169
898	7.004553995	9.636333615
899	7.002735304	9.633631157
900	7.000885732	9.631142743
901	6.999042022	9.628676809
902	6.997054476	9.625984285
903	6.996320948	9.624928139
904	6.994271972	9.62211301
905	6.99385621	9.621432975
906	6.992202862	9.619031339
907	6.990955758	9.617183478
908	6.988527655	9.61402389
909	6.986712716	9.611438423
910	6.984466695	9.608795229
911	6.982546263	9.606541219
912	6.980750175	9.604291446
913	6.978477458	9.600779175
914	6.97711547	9.599052176
915	6.97480392	9.596332433
916	6.97279185	9.593366674
917	6.971251892	9.590773475
918	6.969217506	9.588203435
919	6.96736026	9.585541794
920	6.96616433	9.5839497
921	6.965048793	9.582201976
922	6.963915812	9.580554668
923	6.962174592	9.578473022
924	6.960828311	9.576705061
925	6.958182383	9.573004304
926	6.957399968	9.57170569
927	6.955637459	9.569651021
928	6.954677237	9.568233472
929	6.9530039	9.565843338
930	6.951672533	9.563856435
931	6.948826304	9.559940022
932	6.948034203	9.558906184
933	6.946282871	9.556511412
934	6.944615137	9.554278457
935	6.944131174	9.553496667
936	6.942750193	9.551405697
937	6.941879446	9.550117496
938	6.940261521	9.547752276
939	6.938749798	9.545638812
940	6.936617219	9.542632306
941	6.934651808	9.540140067
942	6.933115632	9.538142179
943	6.931350839	9.535490725
944	6.929678172	9.533121708
945	6.927487811	9.530464559
946	6.925563714	9.527783687
947	6.924252702	9.526150013
948	6.922207	9.523498366
949	6.920642722	9.521177628
950	6.918906706	9.518747238
951	6.917954894	9.517292824
952	6.916213624	9.514732632
953	6.914145919	9.511779006
954	6.912333962	9.50914724
955	6.910444991	9.506723208
956	6.90911535	9.505443162
957	6.907578606	9.503297074
958	6.906518267	9.502057599
959	6.905309196	9.500239332
960	6.903256598	9.497385434
961	6.901987508	9.495751138
962	6.900646198	9.493743448
963	6.899867429	9.492507748
964	6.898127002	9.489737678
965	6.897046856	9.487966412
966	6.895844304	9.486398226
967	6.893681816	9.484012158
968	6.89218992	9.48230481
969	6.890859779	9.480285642
970	6.889061073	9.477994391
971	6.88729937	9.475469936
972	6.886145622	9.473880987
973	6.884898413	9.472454399
974	6.88375398	9.470929194
975	6.882535591	9.469045172
976	6.881135718	9.467268286
977	6.87952187	9.464887978
978	6.878724188	9.463384808
979	6.877332672	9.461377363
980	6.876103286	9.459804557
981	6.87434091	9.457984257
982	6.873180061	9.456500749
983	6.870763636	9.453439988
984	6.868859877	9.450828371
985	6.867743157	9.449277084
986	6.866632217	9.447969621
987	6.865305509	9.446167164
988	6.86497291	9.44558437
989	6.863690372	9.444031726
990	6.862458453	9.442106384
991	6.860704827	9.439905149
992	6.858843182	9.437451951
993	6.857627811	9.435899921
994	6.856671614	9.434725292
995	6.855568559	9.433454873
996	6.854813078	9.432663391
997	6.854039537	9.431563664
